doctor_id,doctor_name,department_name,doctor_title,h_pro,h_level,create_tme,publish_num
10170811,刘建仁,神经内科,主任医师,上海,三级甲等,2017/7/24 16:35,57
10171224,王金武,骨科,主任医师,上海,三级甲等,2017/9/4 9:38,26
10261811,孙延富,肝胆外科,主任医师,上海,三级甲等,2017/7/12 19:18,4
10262017,薛育政,消化内科,主任医师,江苏,三级甲等,2018/6/5 10:18,\N
10331243,穆大力,乳房整形美容中心,主任医师,北京,三级甲等,2018/4/16 21:31,\N
10413676,陈付国,整复外科,副主任医师,上海,三级甲等,2018/6/14 13:32,4
10414128,涂传涛,消化科,副主任医师,上海,三级甲等,2018/3/26 9:38,4
10439436,王翔,泌尿肿瘤科,主任医师,上海,三级甲等,2018/3/26 17:51,\N
10615169,王学文,肝胆外科,副主任医师,四川,三级甲等,2017/12/12 21:14,\N
10665547,张伟,医学美容科,副主任医师,陕西,三级甲等,2017/7/12 19:20,11
10708255,王诗军,骨科,主治医师,北京,三级甲等,2017/9/22 16:49,8
10801681,王晓亮,肝胆外,副主任医师,上海,三级甲等,2017/9/19 21:04,10
10801829,陈苏,皮肤科,副主任医师,江苏,三级甲等,2017/7/24 21:00,15
10811515,罗诚,精神科,副主任医师,云南,三级非甲等,2017/12/26 9:20,13
10830729,魏峰明,肛肠科,副主任医师,山西,三级甲等,2017/7/12 17:16,11
10924208,奚健,神经外科,副主任医师,湖南,三级甲等,2017/9/22 16:49,11
11003320,李福伦,皮肤科,副主任医师,上海,三级甲等,2018/4/16 21:31,\N
11024945,张勤华,中西医结合科,主任医师,上海,三级甲等,2018/3/22 21:09,\N
11030545,赵杰,骨科,主任医师,上海,三级甲等,2017/9/4 9:27,5
11030591,岳冰,骨关节外科,主任医师,上海,三级甲等,2017/7/12 17:17,6
11030611,俞超,骨科,副主任医师,上海,三级甲等,2017/9/22 17:34,3
11030635,王友,骨关节外科,主任医师,上海,三级甲等,2017/8/30 17:49,15
11030659,王晓庆,骨科,主任医师,上海,三级甲等,2017/9/22 16:50,3
11030806,干耀恺,骨科,副主任医师,上海,三级甲等,2017/10/18 9:12,2
11031396,蔡明,骨科门诊,副主任医师,上海,三级甲等,2017/9/22 16:50,21
11047926,严骅,生殖与遗传,副主任医师,上海,三级甲等,2018/4/16 21:31,\N
11048295,李慧武,骨科,副主任医师,上海,三级甲等,2018/3/6 13:41,\N
